0.00999995, 2.23374
0.0199997, 2.23367
0.0299989, 2.23355
0.0399975, 2.23338
0.0499953, 2.23317
0.059992, 2.23291
0.0699874, 2.23261
0.0799814, 2.23226
0.0899738, 2.23187
0.0999643, 2.23144
0.109953, 2.23095
0.119939, 2.23043
0.129923, 2.22986
0.139904, 2.22924
0.149882, 2.22858
0.159857, 2.22788
0.169829, 2.22713
0.179797, 2.22634
0.189762, 2.2255
0.199723, 2.22461
0.20968, 2.22369
0.219632, 2.22271
0.22958, 2.22169
0.239524, 2.22063
0.249462, 2.21953
0.259396, 2.21837
0.269324, 2.21718
0.279247, 2.21594
0.289164, 2.21465
0.299075, 2.21332
0.30898, 2.21195
0.318879, 2.21053
0.328772, 2.20907
0.338657, 2.20756
0.348536, 2.20601
0.358408, 2.20441
0.368273, 2.20277
0.37813, 2.20109
0.387979, 2.19936
0.397821, 2.19758
0.407654, 2.19577
0.417479, 2.19391
0.427296, 2.192
0.437104, 2.19005
0.446903, 2.18806
0.456694, 2.18602
0.466474, 2.18394
0.476246, 2.18181
0.486008, 2.17964
0.49576, 2.17743
0.505502, 2.17517
0.515233, 2.17287
0.524955, 2.17053
0.534665, 2.16814
0.544365, 2.16571
0.554054, 2.16323
0.563732, 2.16071
0.573398, 2.15815
0.583052, 2.15554
0.592695, 2.1529
0.602326, 2.1502
0.611944, 2.14747
0.62155, 2.14469
0.631144, 2.14187
0.640724, 2.139
0.650292, 2.13609
0.659847, 2.13314
0.669388, 2.13015
0.678916, 2.12711
0.688429, 2.12403
0.697929, 2.12091
0.707415, 2.11774
0.716887, 2.11453
0.726344, 2.11128
0.735786, 2.10799
0.745213, 2.10465
0.754625, 2.10128
0.764022, 2.09786
0.773404, 2.09439
0.782769, 2.09089
0.792119, 2.08734
0.801453, 2.08375
0.81077, 2.08012
0.820072, 2.07645
0.829356, 2.07273
0.838624, 2.06898
0.847874, 2.06518
0.857108, 2.06134
0.866324, 2.05746
0.875522, 2.05354
0.884703, 2.04957
0.893866, 2.04557
0.90301, 2.04152
0.912136, 2.03743
0.921244, 2.0333
0.930333, 2.02913
0.939403, 2.02492
0.948455, 2.02067
0.957486, 2.01638
0.966499, 2.01204
0.975491, 2.00767
0.984464, 2.00326
0.993417, 1.9988
1.00235, 1.99431
1.01126, 1.98977
1.02015, 1.98519
1.02903, 1.98058
1.03788, 1.97592
1.0467, 1.97123
1.05551, 1.96649
1.0643, 1.96172
1.07306, 1.9569
1.08181, 1.95205
1.09053, 1.94716
1.09923, 1.94222
1.1079, 1.93725
1.11656, 1.93224
1.12519, 1.92719
1.13379, 1.9221
1.14238, 1.91697
1.15094, 1.9118
1.15948, 1.9066
1.16799, 1.90135
1.17648, 1.89607
1.18495, 1.89075
1.19339, 1.88539
1.20181, 1.87999
1.21021, 1.87456
1.21858, 1.86908
1.22692, 1.86357
1.23524, 1.85802
1.24353, 1.85244
1.2518, 1.84681
1.26004, 1.84115
1.26826, 1.83545
1.27645, 1.82972
1.28462, 1.82394
1.29276, 1.81813
1.30087, 1.81229
1.30896, 1.8064
1.31701, 1.80048
1.32505, 1.79453
1.33305, 1.78853
1.34103, 1.7825
1.34898, 1.77644
1.3569, 1.77034
1.3648, 1.7642
1.37266, 1.75803
1.3805, 1.75182
1.38831, 1.74557
1.3961, 1.73929
1.40385, 1.73298
1.41157, 1.72663
1.41927, 1.72024
1.42694, 1.71382
1.43457, 1.70736
1.44218, 1.70087
1.44976, 1.69435
1.45731, 1.68779
1.46482, 1.68119
1.47231, 1.67457
1.47977, 1.6679
1.4872, 1.66121
1.49459, 1.65448
1.50196, 1.64771
1.50929, 1.64092
1.5166, 1.63409
1.52387, 1.62722
1.53111, 1.62032
1.53832, 1.61339
1.5455, 1.60643
1.55264, 1.59943
1.55975, 1.59241
1.56683, 1.58534
1.57388, 1.57825
1.5809, 1.57112
1.58788, 1.56397
1.59483, 1.55678
1.60175, 1.54955
1.60863, 1.5423
1.61548, 1.53502
1.6223, 1.5277
1.62908, 1.52035
1.63583, 1.51297
1.64255, 1.50556
1.64923, 1.49812
1.65587, 1.49065
1.66248, 1.48315
1.66906, 1.47561
1.6756, 1.46805
1.68211, 1.46046
1.68858, 1.45283
1.69502, 1.44518
1.70142, 1.4375
1.70778, 1.42978
1.71411, 1.42204
1.7204, 1.41427
1.72666, 1.40647
1.73288, 1.39864
1.73907, 1.39078
1.74521, 1.38289
1.75132, 1.37498
1.7574, 1.36703
1.76343, 1.35906
1.76943, 1.35106
1.77539, 1.34303
1.78132, 1.33497
1.7872, 1.32689
1.79305, 1.31878
1.79886, 1.31064
1.80463, 1.30247
1.81036, 1.29428
1.81606, 1.28606
1.82171, 1.27781
1.82733, 1.26954
1.83291, 1.26123
1.83844, 1.25291
1.84394, 1.24456
1.8494, 1.23618
1.85482, 1.22777
1.8602, 1.21934
1.86554, 1.21089
1.87083, 1.2024
1.87609, 1.1939
1.88131, 1.18537
1.88648, 1.17681
1.89162, 1.16823
1.89671, 1.15962
1.90176, 1.15099
1.90677, 1.14234
1.91174, 1.13366
1.91667, 1.12496
1.92155, 1.11623
1.92639, 1.10748
1.93119, 1.09871
1.93595, 1.08991
1.94066, 1.08109
1.94533, 1.07225
1.94995, 1.06338
1.95454, 1.05449
1.95908, 1.04558
1.96357, 1.03665
1.96802, 1.02769
1.97242, 1.01872
1.97679, 1.00972
1.9811, 1.0007
1.98537, 0.991654
1.9896, 0.982591
1.99378, 0.973506
1.99791, 0.9644
2.002, 0.955274
2.00604, 0.946127
2.01003, 0.936959
2.01398, 0.927771
